Generator loss,Critic loss,Gradient Penalty loss
-0.017739875,-0.11825292,0.038770285
-0.7120056,-0.13299634,0.035832737
-0.36509147,-0.07720741,0.039520975
-1.4262115,-0.13839634,0.042705327
-0.11495207,-0.106543876,0.053556222
-1.4026263,-0.12976857,0.030050391
1.4296879,-0.14657634,0.041916177
-0.66964984,-0.08420059,0.02693496
-1.0855145,-0.14705533,0.048587948
-2.1272166,-0.2588333,0.04688422
-1.4526265,-0.09118974,0.03876288
-3.0725396,-0.019207671,0.04570935
-4.5509753,-0.04339905,0.042497028
-0.75509006,-0.10561605,0.033886623
-1.6238935,-0.104849845,0.04179746
-0.9777303,-0.13945499,0.0503271
-1.547825,-0.19232105,0.043114536
-1.8333198,-0.08253011,0.0415404
-1.8240004,-0.088568434,0.03234972
-0.028493762,-0.11039877,0.04504417
-2.751193,-0.26606014,0.041143272
-0.77476865,-0.032985512,0.05306249
-3.3361206,-0.17960384,0.06367135
-1.7305896,-0.053218625,0.08398687
1.4504106,-0.12421301,0.03891685
-2.6923928,0.04312059,0.082464635
-3.045062,0.00645185,1.211706
-3.9892063,-0.015928365,0.6910658
-6.4004107,0.041502938,0.14930569
-5.928622,-0.26358148,0.23499133
-6.7205215,-0.07157193,0.13150951
-2.251797,0.12926805,0.46113783
-3.5053964,-0.009107895,0.07473181
-1.4120065,-0.06969682,0.25975913
-3.57017,-0.0070652496,0.2992343
-3.2222013,0.015430804,0.2690013
-6.2696643,-0.22396131,0.12402708
-6.1153374,-0.31031126,0.30040285
-4.0700793,-0.008279713,0.11116815
-3.1418643,0.005813838,0.07308066
-3.7804122,-0.19517452,0.13545808
-3.630206,-0.09741253,0.06414024
-5.3513203,-5.5719167e-05,0.043990932
-2.788056,-0.0123197995,0.09234011
-2.2701385,-0.042978384,0.11759391
-3.0798273,-0.00059726276,0.12069588
-3.643118,-0.017110396,0.05973039
-5.832412,-0.081464715,0.03671967
-3.6332161,0.16548276,0.117951386
-2.322841,-0.0027343268,0.79739034
-1.6347601,-0.078184724,0.13239495
-3.0618432,0.078687005,0.15656133
-1.0060757,-0.13497391,0.4155627
-0.42860204,0.040726427,0.40107316
-3.4264514,-0.20034488,0.08562048
-4.0008492,-0.12692364,0.17682841
